Entry,chr5AS_status,KASP_341510829,BLUP_TGW,BLUP_GL,BLUP_GW,BLUP_SPS,BLUP_HD,BLUP_GFD,BLUP_HT
7-1201-10-14-2-14,absent,W7984,32.27785838,6.784242426,3.119811893,13.97766138,172.16756,28.88367112,73.59257817
7-1201-10-15-2-31,present,Opata,40.69321892,7.109863682,3.379061911,12.99807891,172.4078166,29.12826766,72.81662376
7-1201-10-36-2-04,present,Opata,40.23310284,6.899008569,3.40680272,13.40672845,172.4078166,29.47588243,71.17239544
7-1201-10-36-2-10,absent,W7984,34.14161694,6.674796892,3.120893022,13.30010808,172.8883297,29.63563229,68.68390577
7-1201-10-36-2-18,absent,W7984,33.16118768,6.568776118,3.106482053,13.62467487,172.4078166,29.13129625,72.3864889
7-1201-10-36-2-25,present,Opata,39.42721725,6.847135691,3.36947917,13.15262276,173.3688429,30.10665382,69.71280613
7-1201-10-43-2-03,present,Opata,38.52362372,6.6799645,3.353557142,13.72316684,173.1880806,29.91448789,71.28139081
7-1201-10-43-2-04,present,Opata,36.71245476,6.553058918,3.302350836,13.93611543,174.8103824,31.55454721,67.85295629
7-1201-10-43-2-12,present,Opata,34.93482971,6.453967884,3.23579766,13.9795687,174.1367821,30.88405398,67.76771562
7-1201-10-43-2-16,present,Opata,37.63250296,6.679575884,3.327334076,13.6415942,172.5556129,29.29667159,69.69658233
7-1201-10-43-2-20,present,Opata,37.1461348,6.583960063,3.361033159,13.65872589,172.8718467,29.58465708,73.36593182
7-1201-10-43-2-22,present,Opata,36.25169323,6.497606265,3.310297227,14.035838,172.5556129,29.29467896,69.97057711
7-1201-10-45-2-01,absent,W7984,31.02221815,6.550478117,3.072279037,13.59625514,172.16756,28.9245571,67.78575753
7-1201-10-45-2-23,absent,W7984,30.52706997,6.415469198,3.011158345,13.66789267,172.8883297,29.67651826,62.87708513
7-1201-10-45-2-43,present,Opata,35.95289306,6.569364104,3.280871546,14.09153446,174.239347,31.00587502,64.89483468
7-1201-10-45-2-61,present,Opata,37.93718792,6.814576012,3.375437669,13.13194257,171.9273034,28.65876042,71.57265597
7-1201-10-72-1-05,absent,W7984,31.69128946,6.547656816,3.101229355,13.33924502,171.9231452,28.64498051,72.76968521
7-1201-10-72-1-08,absent,W7984,31.91874943,6.532290277,3.111800019,13.44554746,170.9744437,27.72523028,69.43349074
7-1201-10-72-1-18,absent,W7984,31.17069939,6.513264267,3.073605554,13.6244625,172.239379,28.98875976,68.7671807
7-1201-10-72-1-29,absent,W7984,30.46847541,6.555994426,3.050091304,13.23973936,171.6870468,28.39902093,74.49928469
7-1201-10-72-1-30,absent,W7984,32.03497755,6.525327567,3.130319042,13.23917874,170.6582098,27.40536264,70.14805783
7-1201-4-27-1-26,present,Opata,40.49125784,7.045495917,3.423460487,13.5411887,171.5080768,28.25605028,71.73234659
7-1201-4-27-1-30,absent,W7984,32.18894381,6.643059486,3.131742756,12.86190367,170.4024766,27.18977606,66.9294154
7-1201-4-29-1-07,absent,W7984,31.32642717,6.603408369,3.08060719,13.36224982,173.9106426,30.66870117,68.70428599
7-1201-4-29-1-10,absent,W7984,30.33519602,6.534081449,3.048627861,13.48955037,174.8716689,31.62588719,68.6114124
7-1201-4-29-1-15,absent,W7984,30.02945269,6.595340634,3.059246566,13.55011016,176.4109195,33.17161474,66.50439053
7-1201-4-29-1-16,absent,W7984,31.00745736,6.491969136,3.080189481,13.66192614,173.9106426,30.67172976,68.27415113
7-1201-4-29-1-23,absent,W7984,30.08844073,6.534619324,3.039962025,13.373919,175.7784519,32.54184263,66.56355077
7-1201-4-29-1-27,absent,W7984,31.18248844,6.49733867,3.099772673,13.29414156,173.9106426,30.67021547,68.48921856
7-1201-4-29-1-28,absent,W7984,30.54629915,6.632812377,3.04372592,13.3716612,175.8326952,32.59973046,66.15279706
7-1201-4-29-1-32,absent,W7984,31.49587582,6.590528827,3.082474596,13.46113064,174.6314123,31.3979479,67.02162506
7-1201-4-29-1-33,absent,W7984,32.30789463,6.579471746,3.107709149,13.19625159,178.9560308,35.72042795,64.45301958
7-1201-4-43-1-14,absent,W7984,31.9496505,6.51124564,3.119835003,13.59214603,170.787307,27.61311839,61.15616394
7-1201-4-47-2-19,absent,W7984,31.13960354,6.55180458,3.026415557,13.2812009,171.2678202,28.03113958,69.71242439
7-1201-4-50-1-08,present,Opata,37.62992396,6.747064806,3.33273158,13.24974733,173.1898728,29.93339726,71.24721665
7-1201-4-50-1-19,absent,W7984,31.48744947,6.655244553,3.048333008,13.13303459,174.3911557,31.13972271,69.73318635
7-1201-4-78-1-01,present,Opata,37.07340019,6.606906517,3.347953397,13.23445383,170.0665373,26.83087132,70.36618496
7-1201-4-78-2-02,present,Opata,36.369843,6.700598156,3.381873845,14.01980391,169.105511,25.85248516,73.47000259
7-1201-4-78-2-05,present,Opata,36.81964654,6.556929488,3.383458683,13.60106199,169.8262807,26.57416041,72.86267882
7-1201-4-78-2-10,present,Opata,35.25458353,6.588681903,3.333382715,14.00853511,169.5860241,26.32956388,73.63863323
7-1201-4-78-2-15,present,Opata,37.01806019,6.707129662,3.37232796,13.62595245,169.3457676,26.09859599,72.47898075
7-1201-4-78-2-25,present,Opata,35.74681112,6.636567382,3.34204404,13.90662044,171.0275636,27.79714311,68.98290678
7-1201-4-78-2-33,present,Opata,37.67543262,6.661421352,3.427797292,14.21285988,169.5860241,26.30987803,76.43450983
7-1201-4-81-1-09,present,Opata,38.32727294,6.816685277,3.430659829,13.54471797,172.2288465,28.95046822,74.99623657
7-1201-4-81-1-19,present,Opata,38.84440087,6.857195292,3.424492475,13.42212311,172.2288465,28.97469694,71.55515768
7-1201-4-81-1-21,present,Opata,39.73841699,7.110651969,3.429664698,12.96369266,173.1898728,29.9545974,68.23627261
7-1201-4-81-1-28,present,Opata,38.11729915,6.749645607,3.425241894,13.74483248,174.1508992,30.87695462,73.08994993
7-1201-4-81-1-31,present,Opata,38.45036741,6.895968464,3.417121135,13.16331173,172.2288465,28.98075413,70.69488795
7-1201-4-81-1-39,present,Opata,38.42718905,6.710370952,3.436962324,13.26875567,171.5080768,28.28482189,67.6460654
7-1201-4-81-1-42,present,Opata,38.71307591,6.97610784,3.436593757,14.23706934,171.7483334,28.45976084,76.76321282
7-1201-4-81-1-43,present,Opata,38.58784156,6.907661572,3.428952135,13.72179944,172.2288465,28.95046822,74.99623657
7-956-2-12-1-16,present,Opata,38.11080581,6.60243876,3.332358129,12.99270816,173.4022281,30.10241331,77.26526101
7-956-2-12-1-18,absent,W7984,27.56907133,6.086376403,2.940878561,13.77669626,177.7268465,34.45063638,71.04050919
7-956-2-12-1-22-06,absent,Opata,34.8752503,6.368732522,3.222270849,13.64752409,175.144713,31.7701484,87.04821284
7-956-2-12-1-22-08,present,Opata,35.88943337,6.435233722,3.247173131,13.8825553,176.5007196,33.15209672,82.40094131
7-956-2-12-1-22-11,present,Opata,36.94668478,6.615377582,3.267666969,13.63079459,176.5007196,33.13255827,85.23294784
7-956-2-12-1-22-12,present,Opata,37.10963704,6.563823674,3.252577666,13.81165905,176.6944348,33.30904541,87.60334461
7-956-2-12-1-22-14,present,Opata,36.38877567,6.610083312,3.249762268,14.00473506,177.0060768,33.66536072,80.68066507
7-956-2-12-1-35-08,absent,W7984,32.68754997,6.515095157,3.127164602,13.72357164,172.4412018,29.143713,77.57320204
7-956-2-12-1-48-12,present,W7984,35.82432832,6.463931694,3.306816437,12.9997667,174.8437676,31.56847825,72.82460199
7-956-2-12-1-53-06,absent,Opata,33.87940078,6.390350276,3.206966338,13.93401169,178.438896,35.09845037,79.03714039
7-956-2-12-1-53-09,present,Opata,38.57678628,6.756271625,3.33454496,12.81476014,181.5709518,38.16580831,86.79907214
7-956-2-12-1-69-02,present,Opata,38.39986711,6.663741957,3.374165911,13.74307541,173.6424847,30.38789583,70.68248596
7-956-2-12-1-69-03,present,Opata,36.64319872,6.398617279,3.342906379,13.34350409,178.8253022,35.56424026,68.18860428
7-956-2-12-1-69-04,present,Opata,39.39323484,6.580055509,3.42576529,13.59961479,177.7268465,34.42186477,75.12679038
7-956-2-12-1-69-07,present,Opata,40.19885864,6.704643373,3.439709407,13.74542825,174.1229978,30.85134589,72.78672347
7-956-2-12-1-69-10,present,Opata,39.39830111,6.593403785,3.421203099,13.30873698,174.5635673,31.30785041,70.20200007
7-956-2-12-1-69-12,present,Opata,38.87295307,6.5884017,3.369583873,13.70790315,177.4692957,34.20305153,69.82686888
7-956-2-12-1-69-14,present,Opata,39.48851102,6.648023805,3.432465834,13.87013066,174.1761369,30.89015502,74.84222815
7-956-2-19-1-12-01,present,Opata,36.63703036,6.682786067,3.394326526,13.93681236,171.4801754,28.23044154,71.42912013
7-956-2-19-1-12-04,present,Opata,35.88496204,6.647327574,3.344803408,13.7709997,170.9996623,27.75790571,70.6152872
7-956-2-19-1-12-06,present,Opata,34.82971235,6.619366857,3.331878992,13.89712383,171.720432,28.48866674,68.71755884
7-956-2-19-1-12-11,present,Opata,36.33387793,6.640044054,3.377434256,13.47096449,171.2704085,28.03525196,69.37634587
7-956-2-19-1-13-04,present,Opata,36.28105456,6.543104798,3.396046505,13.67447172,170.7594057,27.53602361,68.16523014
7-956-2-19-1-13-05,present,Opata,38.82910359,6.670016606,3.481185479,13.54128905,168.5970965,25.37251214,69.77213403
7-956-2-19-1-13-06,present,Opata,36.72968373,6.727528106,3.359742657,13.75081494,172.4412018,29.12402716,80.36907864
7-956-2-19-1-13-09,present,Opata,36.475883,6.59101474,3.406083812,13.93445952,170.9996623,27.76850578,69.10981518
7-956-2-19-1-13-10,present,Opata,36.81836125,6.547997312,3.418185095,13.76864685,170.5191491,27.30959861,66.36037538
7-956-2-19-1-13-15,present,Opata,37.40984593,6.635059595,3.420236785,13.614103,169.5581228,26.35695548,65.80804668
7-956-2-19-1-18-16,present,Opata,36.15049983,6.639503553,3.374465707,13.94266164,172.0452694,28.81446969,68.2379085
7-956-2-19-1-31-03,present,Opata,37.89503477,6.643228092,3.407997493,13.58877977,170.8829781,27.6480854,69.59156375
7-956-2-19-1-31-05,present,Opata,36.34057819,6.535729334,3.389817723,13.60753989,170.9996623,27.77002008,68.89474775
7-956-2-19-1-33-01,present,Opata,35.45755669,6.537594665,3.345125394,13.63776957,171.0766933,27.86364943,66.29794747
7-956-2-19-1-33-09,present,Opata,37.00540042,6.626522159,3.39215198,13.63360676,170.7594057,27.53450931,68.38029757
7-956-2-19-1-33-11,present,Opata,38.07636711,6.594304955,3.433529767,13.37597181,170.9996623,27.78213444,67.1742083
7-956-2-19-1-33-14,present,Opata,35.73583142,6.664316828,3.315698902,13.71533667,170.7594057,27.52390924,69.88576959
7-956-2-19-1-44,absent,W7984,29.98306878,6.314930186,3.091192464,13.30012402,172.2009452,28.99300277,65.01497571
7-956-2-19-1-47-01,present,Opata,36.73083402,6.587638905,3.40309842,13.49150813,169.5581228,26.3508983,66.6683164
7-956-2-19-1-47-04,present,Opata,35.32929141,6.563577992,3.361575694,13.54703767,172.0452694,28.83156583,65.75990278
7-956-2-19-1-47-09,present,Opata,37.97315475,6.622143359,3.4509507,13.50395336,169.3178662,26.09418739,69.16481026
7-956-2-19-1-54,present,Opata,35.34347536,6.634448031,3.347579946,13.830192,171.9606886,28.76657778,63.21012095
7-956-2-30-1-22-01,absent,W7984,33.99602183,7.066754356,3.066673501,13.64191112,171.8515542,28.6184441,68.69951825
7-956-2-30-1-22-02,absent,W7984,33.00367056,7.062824309,3.057124589,13.23201577,172.2009452,28.98845989,65.66017801
7-956-2-30-1-26-01,absent,W7984,33.5304286,7.056525197,3.060011697,13.63831246,171.720432,28.51592406,64.84634508
7-956-2-30-1-26-02,absent,W7984,34.27467194,7.1373006,3.090295618,13.50444879,172.2009452,29.00208855,63.72457113
7-956-2-46-1-04-01,absent,W7984,28.19163751,6.364161106,2.971395908,12.89450832,170.038636,26.82646272,67.05201447
7-956-2-46-1-07-11,absent,W7984,29.81420205,6.578428748,3.005230357,12.9478185,169.7983794,26.59095195,66.53756429
7-956-2-46-1-07-12,absent,W7984,27.83064429,6.553115769,2.929930234,13.24444326,172.1142192,28.91032423,64.55902955
7-956-2-46-1-07-13,absent,W7984,30.77771516,6.617079607,3.044556455,12.65705813,168.8373531,25.65042318,64.26469614
7-956-2-46-1-07-15,absent,W7984,27.63530966,6.550198943,2.885544371,13.47602907,171.9606886,28.73780617,67.29640214
7-956-2-46-1-11-01,absent,W7984,26.45789583,6.238558045,2.91796598,13.22966292,171.720432,28.50380969,66.56688453
7-956-2-46-1-24-02,absent,W7984,29.27619519,6.448997295,2.993731067,13.04787576,170.7594057,27.56782381,63.64881409
7-956-2-50-1-01,present,Opata,37.05567389,6.654800889,3.300280516,13.55540613,171.4801754,28.23195584,71.2140527
7-956-2-50-1-05-04,absent,W7984,29.78877791,6.447627391,2.995598473,13.37176155,172.9217149,29.67682064,69.78433772
7-956-2-50-1-05-05,absent,W7984,30.04597002,6.548817418,3.001878256,13.64398189,172.2389847,28.98973567,70.78530568
7-956-2-50-1-05-08,absent,W7984,30.31569325,6.509945786,3.013080834,13.8189232,172.4412018,29.18914186,71.1211791
7-956-2-50-1-23-11,absent,W7984,29.52584057,6.452333188,3.026287424,13.52158903,169.5269715,26.29544475,69.99082549
7-956-2-50-1-23-12,absent,W7984,29.55851917,6.2336533,3.045625299,13.35108136,171.4801754,28.24861309,68.84831095
7-956-2-50-1-23-13,absent,W7984,31.98406676,6.54273786,3.10638971,13.52228071,170.2788925,27.04531623,69.93220639
7-956-2-50-1-23-14,absent,W7984,31.02551774,6.573413921,3.055539751,13.16694135,170.038636,26.81889124,68.12735162
7-956-2-50-1-23-16,absent,W7984,31.24605916,6.51189056,3.080811161,13.65193411,171.720432,28.49472392,67.85728912
7-956-2-50-1-44-07,absent,W7984,32.22892151,6.734621791,3.065361816,13.34366741,174.3698521,31.12403636,68.89360574
7-956-2-50-1-44-08,absent,W7984,33.27958184,6.786722789,3.10531531,13.94784594,174.3278561,31.07965549,69.14687747
7-956-2-50-1-44-09,absent,W7984,33.18097603,6.829229011,3.092660635,13.90549712,176.3070043,33.04643647,69.76452086
7-956-2-50-1-44-10,absent,W7984,33.33978567,6.75355628,3.09577498,13.4877933,174.3632544,31.13077122,67.06421815
7-956-2-50-1-50,absent,W7984,30.68349442,6.589803843,3.02808151,13.49317999,172.6814583,29.43525269,70.13015726
7-956-2-50-1-54-07,present,Opata,38.4017657,6.687028277,3.399594822,13.89160106,171.4641238,28.20074871,73.33974632
7-956-2-50-1-55-02,absent,W7984,28.21753791,6.496943931,2.927143298,13.52395256,173.4022281,30.16298513,68.66256376
7-956-2-50-1-61-06,absent,W7984,29.49685399,6.42095096,3.012527984,13.63360676,170.7594057,27.53450931,68.38029757
7-956-2-50-1-61-09,absent,W7984,30.80805881,6.526165539,3.072511977,13.59455605,169.7206868,26.45239343,75.19322879
7-956-2-89-2-17-01,present,Opata,38.69572223,6.88200923,3.400063885,13.9877697,170.7594057,27.53602361,68.16523014
7-956-2-89-2-17-02,present,Opata,37.35931406,6.92851919,3.33436809,13.49539735,171.7979853,28.52669228,74.04142978
7-956-2-89-2-22-01,present,Opata,41.41536918,7.199992611,3.404387895,13.45690511,170.8829781,27.64442194,70.12256497
7-956-2-89-2-22-02,present,Opata,43.10046613,7.407293974,3.447129889,13.30012402,172.2009452,28.96120257,69.53139177
7-956-2-9-2-03-02,present,Opata,41.27570294,6.941220878,3.44128196,13.36049275,173.4022281,30.25990004,54.89824817
7-956-2-9-2-03-05,present,Opata,41.22483196,6.885617459,3.466811366,13.81118366,173.6424847,30.48632503,56.70310294
7-956-2-9-2-07-01,present,Opata,34.05137841,6.977095235,3.225940555,12.55984916,171.2399189,28.02370239,66.82838876
7-956-2-9-2-20-01,present,Opata,40.74941167,6.92514897,3.469022768,13.82783915,171.4801754,28.28495618,63.68669261
7-956-2-9-2-21-05,present,Opata,44.41506647,7.089084876,3.541483038,13.47838191,172.4412018,29.25577086,61.65821213